filename,pitch_mean,pitch_std,energy_mean,energy_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean
s_001_1.wav,231.3209,36.7679,0.063698,0.032211,-211.1795,66.6269,95.7138,51.3811,12.6908,24.5239,15.7499,18.4801,-11.0321,14.8935,3.946,14.1713,-14.1825,15.6539,9.4187,7.1939,-0.6031,9.3612,8.899,9.5608,3.8831,8.2838,-8.839,9.2005,3.5284,7.7642,1769.3007,1663.3779,3266.8167,0.134459
s_002_1.wav,161.2918,50.8211,0.067789,0.027892,-205.0201,54.4069,121.754,40.2356,10.3824,27.1201,19.9519,18.4665,-23.6179,21.2652,3.923,14.5198,-23.9769,16.2416,4.8516,9.9729,-7.1265,9.3861,2.4249,8.6164,4.2697,8.9968,-4.6231,7.3121,8.4859,8.6389,1344.7247,1475.6053,2641.6016,0.075633
s_003_0.wav,106.3163,14.0027,0.06387,0.036647,-196.3728,71.7225,83.0963,47.1304,13.1653,28.0733,21.2196,23.3601,0.9652,13.5435,12.1861,13.685,-3.5382,13.4527,6.6218,10.5492,1.3485,8.3872,-0.4067,12.5566,0.4072,13.7109,-2.3962,6.5225,-0.1883,6.6842,1855.6599,1849.7845,3850.6944,0.105677
s_004_1.wav,166.4247,19.5121,0.06941,0.019406,-258.8063,77.1918,89.1613,61.6365,41.0988,32.7475,3.0603,28.7684,8.4677,19.2686,-17.9801,15.5944,-18.5073,14.6164,-0.5691,13.4036,-26.4545,12.5572,-3.6718,8.5129,-5.285,9.2962,-10.5206,9.4122,-3.4409,7.6995,2014.6099,1737.5172,3349.7596,0.166369
s_005_1.wav,199.651,22.2256,0.068374,0.022111,-239.9742,67.9186,84.2285,68.8012,-5.5762,37.3405,21.8068,31.737,-18.0374,16.156,-4.3981,16.4741,-6.7584,9.716,1.345,9.5026,-1.5647,6.2296,-5.3556,5.3091,0.9436,9.4442,-4.6956,4.3539,-2.9557,6.4429,1699.6155,1483.6683,3081.1543,0.121572
s_006_1.wav,202.2595,12.2679,0.06698,0.022367,-235.8879,51.8683,75.9241,48.8832,3.4382,44.9641,3.648,23.0192,-0.5313,12.788,-14.0307,14.606,-6.4091,10.5411,10.859,8.3563,-4.1703,10.9725,-0.5974,9.6038,5.293,9.5592,-8.9191,8.5045,7.1651,8.5515,1984.1694,1688.2635,3450.1793,0.133613
s_007_0.wav,138.7886,22.421,0.067715,0.026542,-225.3887,51.3215,82.937,69.3708,41.3081,26.8575,8.2017,21.2201,-7.5765,16.2047,24.0998,10.9086,-1.2199,12.1145,2.5095,11.7309,8.265,9.3158,-9.6004,11.2444,-2.9928,10.5719,-0.8879,5.9476,1.2098,8.7493,2042.7925,1786.3154,3723.6607,0.162667
s_008_1.wav,186.7946,14.7277,0.064342,0.033601,-264.3522,103.4619,108.6046,56.0681,-9.2711,44.695,14.5372,25.734,-21.9489,18.6503,-7.946,14.9382,-19.1452,12.1832,-4.0388,10.895,-15.434,10.82,-1.764,9.4437,-7.3796,11.7826,-7.1973,5.5573,-0.5069,7.8427,1479.5844,1407.9877,2686.9182,0.127462
s_009_0.wav,105.589,12.6789,0.069843,0.032468,-223.4109,57.9157,97.5098,62.0876,33.0465,28.2313,11.3394,14.6287,-2.7006,16.538,7.7842,11.3414,-7.4663,11.9042,5.1156,10.2207,1.0891,8.5089,2.6375,11.1315,-0.7046,10.0267,-6.9532,6.7769,-1.4776,5.8871,1840.3333,1715.2458,3345.1849,0.134257
s_010_1.wav,150.7172,17.9694,0.068546,0.025526,-201.159,46.0668,72.8652,55.2037,2.0858,21.01,38.4972,19.0162,-11.942,15.2296,-23.896,17.7177,-15.4182,13.0441,-8.6808,11.606,-8.3727,9.0343,-8.8463,10.1101,-5.0772,7.9278,-10.2013,9.069,-4.5318,8.2349,1882.6014,1700.9219,3640.0862,0.129142
s_011_1.wav,190.2272,53.0605,0.067662,0.031014,-200.9674,66.9809,93.9445,48.4634,21.9151,36.591,-9.1524,21.1176,-20.2857,22.4174,11.9774,12.2275,-4.202,14.6604,-5.0868,9.9524,-7.6911,9.4171,-6.5213,10.0767,-2.4441,8.6027,-7.4687,11.5744,2.4202,10.0926,2017.7401,1814.4596,3745.5966,0.147283
s_012_1.wav,216.5904,24.6321,0.06708,0.028554,-279.1526,97.2219,82.2084,42.2569,6.2789,30.8375,16.8956,29.2581,-13.1037,16.5755,0.1118,13.2436,-7.4856,11.3368,-18.1645,12.7468,-15.6712,13.7623,-10.7127,10.434,-11.0016,8.6084,-16.357,11.15,-3.0521,7.4953,1513.4649,1690.0178,3160.8538,0.073887
s_013_1.wav,272.5826,27.2189,0.063993,0.026421,-190.7377,59.6587,85.456,28.8865,-7.363,32.0889,5.4392,17.4862,-2.8691,14.3336,-7.6903,15.3926,-20.3843,12.5914,-4.4108,10.943,-5.8483,8.1206,0.3235,9.1805,-7.1661,8.7906,0.5291,8.2066,-2.7771,7.1906,1855.875,1802.0471,3750.1371,0.144334
s_014_1.wav,245.1274,26.5793,0.072175,0.030243,-224.3446,36.4761,92.9159,44.774,12.969,16.7465,28.7608,22.1755,-13.5715,19.0141,-11.1239,12.8562,-20.261,9.072,-9.0635,12.871,-8.1,7.4218,-1.104,7.0884,1.8571,7.1774,-1.83,11.8015,1.3282,6.6395,1640.6965,1623.1988,3190.0541,0.119544
s_015_1.wav,189.8339,13.8877,0.065166,0.034277,-203.5909,49.5894,94.8155,52.1939,1.3735,35.7828,16.2,21.0174,-7.072,15.6484,-9.0778,17.5355,-6.6743,15.4299,-2.8594,10.6074,-2.955,6.822,1.9594,7.4815,-5.5888,8.1549,-0.4347,5.158,-3.2737,6.9555,1760.714,1595.4456,3179.6875,0.132106
s_016_1.wav,198.8931,14.7628,0.063424,0.023779,-288.4518,97.1675,55.8978,86.8028,32.8621,31.9528,9.6468,30.2436,-9.3824,28.1628,-14.6607,13.4869,-13.4141,11.5934,6.598,9.2343,-21.0242,13.145,-10.2636,10.5295,1.848,10.5838,-15.9072,13.0783,0.6566,6.7596,2358.1756,1633.9301,3682.9637,0.215025
s_017_1.wav,199.4206,26.9566,0.062736,0.028181,-218.8167,80.5659,101.6281,64.6076,5.0667,30.8239,-18.75,28.0446,-25.7883,28.5297,2.3668,16.6561,10.8155,20.8207,-4.7095,9.5666,-22.7801,5.3037,-10.3456,8.931,-1.8543,11.7855,-2.7245,9.0792,-8.6017,8.3331,1826.5119,1573.9453,3158.9949,0.141945
s_018_1.wav,256.9388,79.8776,0.061048,0.034424,-235.1511,77.9354,103.7941,56.2399,1.6518,37.3764,-17.6478,30.3917,-13.6506,28.1336,-1.12,16.425,5.4222,21.8155,-8.1214,10.3102,-23.7736,5.8699,-6.3005,10.7787,-7.6067,12.3279,-8.1545,10.8619,-9.673,12.0769,1729.4574,1602.0979,3082.3514,0.129363
s_019_1.wav,171.1603,44.1402,0.06463,0.025416,-255.7805,63.3676,60.6913,83.117,20.3164,20.863,21.5038,28.4146,-17.3272,11.9696,-10.9592,17.0313,-12.0011,12.6391,-1.9732,9.3205,-15.1114,12.0435,-5.8897,9.3038,-13.3938,8.3581,-9.1377,6.7381,-7.0805,6.9946,1961.679,1645.7762,3480.8843,0.156177
s_020_0.wav,115.4063,11.2949,0.066623,0.028541,-224.0681,59.3701,61.6484,72.4044,35.3434,27.579,27.2332,26.3172,2.481,15.3401,9.7811,15.365,0.4026,11.7639,8.1003,12.7078,7.7514,7.6012,1.0537,12.9628,1.889,7.4682,0.3831,6.6479,-5.252,10.2189,2393.3039,1758.4116,4032.1691,0.200416
s_021_1.wav,190.5623,16.8597,0.066843,0.029688,-211.2595,53.42,136.6196,32.4814,-5.5411,19.614,2.4217,25.5011,-9.2445,19.4718,-13.5818,17.0322,-2.3859,16.0913,-7.3435,11.8713,-5.1299,9.4756,-1.4147,11.1811,-1.2224,8.0957,3.616,9.1016,0.4734,8.0589,1190.3876,1394.4066,2056.6406,0.072113
s_022_1.wav,205.9486,43.1248,0.059772,0.026714,-188.5662,62.892,70.0107,68.101,15.116,30.554,14.4106,29.1282,-4.6465,14.6848,-6.6919,17.6079,-2.9489,12.3846,-2.1092,9.5532,-6.3965,9.7942,1.5517,7.2486,-3.0353,7.2497,4.9904,8.0755,2.1291,6.0101,2269.449,1799.7296,3979.4347,0.194824
s_023_1.wav,232.6986,27.3086,0.06764,0.029428,-226.8358,74.9442,86.8012,39.3215,-4.8492,40.0673,-1.2396,25.5852,-15.3038,18.6595,-8.1796,13.1245,-21.3994,10.4298,-4.4836,10.8758,-4.1396,10.1984,4.8621,11.0844,-12.0084,8.5708,-2.4788,7.9848,-9.808,13.2648,1778.421,1670.1592,3337.9755,0.129437
